formulation_id,ingredient_id,ingredient_position,ingredient_name_as_published,split_method,review_status
FORM_7cacd2fee52594d2c2eb,ING_7cacd2fee52594d2c2eb,1,Enoxaparin Sodium,single,rule_extracted
FORM_a2e715698c18e25071a6,ING_a2e715698c18e25071a6,1,Heparin Sodium,single,rule_extracted
FORM_1e2f3c41f17b5154ce93,ING_1e2f3c41f17b5154ce93,1,Human Insulin (rDNA),single,rule_extracted
FORM_76921db61bc1f67cc195,ING_76921db61bc1f67cc195,1,"Isophane Insulin Human, Recombinant DNA",single,rule_extracted
FORM_d01c13b78b75b0ccb33e,ING_d01c13b78b75b0ccb33e,1,Insulin Detemir,single,rule_extracted
FORM_f67fb6679f50e31394ed,ING_f67fb6679f50e31394ed,1,Biphasic Insulin Aspart 30,single,rule_extracted
FORM_8cfafcd363f31197a761,ING_8cfafcd363f31197a761,1,Insulin Aspart,single,rule_extracted
FORM_e509910a45279d77fefc,ING_e509910a45279d77fefc,1,Tetanus Toxoid Adsorbed,single,rule_extracted
FORM_c35668c836401b9c6362,ING_c35668c836401b9c6362,1,Laronidase,single,rule_extracted
FORM_4bce035f72e9da62f185,ING_4bce035f72e9da62f185,1,Idursulfase,single,rule_extracted
FORM_9ebf23573b9c3f3c0315,ING_9ebf23573b9c3f3c0315,1,Insulin glulisine,single,rule_extracted
FORM_b01c4459c20b4fe8b190,ING_b01c4459c20b4fe8b190,1,Agalsidase Beta,single,rule_extracted
FORM_e2e05a7b9535ae6b6fbe,ING_e2e05a7b9535ae6b6fbe,1,Follitropin Alfa,single,rule_extracted
FORM_092aa94ac567ed2eb11c,ING_092aa94ac567ed2eb11c,1,Basiliximab,single,rule_extracted
FORM_4b6dfea7595d934143bc,ING_4b6dfea7595d934143bc,1,Insulin Lispro (rDNA origin),single,rule_extracted
FORM_049a2e4a34e29ed5e95a,ING_049a2e4a34e29ed5e95a,1,Somatropin (rbe),single,rule_extracted
FORM_cfde5ae9170ad0afe5df,ING_cfde5ae9170ad0afe5df,1,Somatropin,single,rule_extracted
FORM_72b04397029f681ed12d,ING_72b04397029f681ed12d,1,Epoetin Beta,single,rule_extracted
FORM_672bb991dce99ef875d2,ING_672bb991dce99ef875d2,1,Trastuzumab,single,rule_extracted
FORM_0f970030a765cf95180e,ING_0f970030a765cf95180e,1,Ranibizumab,single,rule_extracted
FORM_83c84feb61bad0027702,ING_83c84feb61bad0027702,1,Filgrastim,single,rule_extracted
FORM_748367e6af8aeeea3430,ING_748367e6af8aeeea3430,1,Brentuximab vedotin,single,rule_extracted
FORM_9d2afb6f61e8f78d9aa6,ING_9d2afb6f61e8f78d9aa6,1,Heparin Sodium ( Bovine ),single,rule_extracted
FORM_67138957ce36c4bb0df0,ING_67138957ce36c4bb0df0,1,Tinzaparin Sodium,single,rule_extracted
FORM_0a82e672a6e06582f977,ING_0a82e672a6e06582f977,1,Streptokinase,single,rule_extracted
FORM_ae4de51474b116aa685d,ING_ae4de51474b116aa685d,1,Insulin Human (rDNA),single,rule_extracted
FORM_8f6ece79649a2bec1f45,ING_8f6ece79649a2bec1f45,1,"Measles, Mumps, Rubella and Varicella Vaccine (Live)",single,rule_extracted
FORM_ce8a72c8e537faed990c,ING_ce8a72c8e537faed990c,1,Alteplase,single,rule_extracted
FORM_5891177d540a3d894d8d,ING_5891177d540a3d894d8d,1,Infliximab,single,rule_extracted
